               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  63,              1.4441,             0.96782,              1.1749,             0.87485,             0.87801,             0.91931,             0.66681,              1.2748,             0.71977,              1.1485,           0.0050896,           0.0050896,           0.0050896
                  64,              1.4376,             0.96106,              1.1744,             0.88028,             0.85554,             0.91812,             0.67021,              1.2732,             0.72415,              1.1478,           0.0050104,           0.0050104,           0.0050104
                  65,              1.4205,             0.94371,              1.1724,             0.87211,             0.85126,              0.9073,              0.6688,              1.2757,             0.72249,              1.1488,           0.0049312,           0.0049312,           0.0049312
                  66,              1.4017,             0.93244,              1.1649,             0.85164,             0.87522,             0.91012,             0.67525,              1.2606,             0.72456,              1.1448,            0.004852,            0.004852,            0.004852
                  67,              1.3885,             0.92647,              1.1694,             0.83703,             0.88406,             0.91006,             0.67415,              1.2401,             0.71103,              1.1379,           0.0047728,           0.0047728,           0.0047728
                  68,              1.3994,             0.93713,              1.1669,             0.85626,             0.86475,             0.91619,             0.67924,              1.2178,             0.70914,              1.1344,           0.0046936,           0.0046936,           0.0046936
                  69,              1.3894,             0.92566,               1.166,             0.86046,             0.86817,             0.91154,               0.684,              1.2147,             0.70187,              1.1326,           0.0046144,           0.0046144,           0.0046144
                  70,              1.3731,             0.91397,              1.1593,              0.8538,             0.89427,             0.91575,             0.68118,              1.2094,             0.69587,              1.1296,           0.0045352,           0.0045352,           0.0045352
                  71,              1.3602,             0.90517,              1.1578,             0.85578,             0.87894,             0.90635,             0.68211,              1.2065,             0.70112,              1.1307,            0.004456,            0.004456,            0.004456
                  72,              1.3576,             0.89907,              1.1537,             0.85659,             0.88587,             0.90791,             0.68206,              1.1953,             0.69719,              1.1263,           0.0043768,           0.0043768,           0.0043768
                  73,              1.3485,             0.88939,              1.1478,             0.86395,             0.88101,             0.90855,             0.68615,              1.1799,              0.6918,              1.1221,           0.0042976,           0.0042976,           0.0042976
                  74,              1.3446,             0.89597,              1.1519,             0.86641,             0.88193,             0.90944,             0.68976,               1.171,             0.69118,               1.121,           0.0042184,           0.0042184,           0.0042184
                  75,                1.32,             0.87396,              1.1475,             0.87518,             0.88055,             0.92032,             0.69627,               1.155,             0.68028,              1.1182,           0.0041392,           0.0041392,           0.0041392
                  76,              1.3085,             0.87279,              1.1476,             0.87344,             0.88474,               0.922,             0.69901,              1.1432,             0.67315,              1.1168,             0.00406,             0.00406,             0.00406
                  77,              1.3089,             0.85999,              1.1471,             0.88446,             0.87125,              0.9191,             0.69953,              1.1387,             0.66415,              1.1136,           0.0039808,           0.0039808,           0.0039808
                  78,              1.2983,             0.85615,              1.1411,             0.87827,             0.87561,             0.91943,             0.70004,              1.1277,             0.66002,              1.1098,           0.0039016,           0.0039016,           0.0039016
                  79,              1.3006,             0.86009,              1.1388,             0.87315,             0.88607,             0.92023,             0.70262,              1.1165,             0.65301,              1.1066,           0.0038224,           0.0038224,           0.0038224
                  80,               1.295,             0.86065,              1.1444,              0.8843,             0.87495,             0.92109,             0.70571,              1.1056,             0.64625,              1.1051,           0.0037432,           0.0037432,           0.0037432
                  81,              1.2762,             0.83837,              1.1355,             0.88784,             0.87285,             0.92154,             0.70928,              1.0995,             0.64117,              1.1039,            0.003664,            0.003664,            0.003664
                  82,              1.2828,             0.84753,              1.1403,             0.89304,             0.87534,             0.92316,             0.71187,              1.0912,             0.64177,              1.1023,           0.0035848,           0.0035848,           0.0035848
                  83,              1.2583,             0.82738,              1.1337,             0.89644,             0.87863,              0.9239,             0.71403,              1.0871,             0.63611,              1.1014,           0.0035056,           0.0035056,           0.0035056
                  84,              1.2448,             0.81956,              1.1289,             0.90366,             0.87524,              0.9242,             0.71316,              1.0806,             0.63331,              1.1017,           0.0034264,           0.0034264,           0.0034264
                  85,              1.2375,             0.81548,               1.127,             0.89875,             0.87744,             0.92434,              0.7145,              1.0764,             0.63414,              1.1014,           0.0033472,           0.0033472,           0.0033472
                  86,              1.2481,             0.82528,              1.1287,             0.89019,             0.88281,             0.92526,             0.71917,              1.0698,             0.63254,              1.0997,            0.003268,            0.003268,            0.003268
                  87,              1.2219,             0.80091,              1.1244,             0.91532,             0.86288,             0.92522,             0.71841,               1.063,             0.63007,              1.0975,           0.0031888,           0.0031888,           0.0031888
                  88,              1.2236,             0.80907,              1.1243,             0.91312,             0.86344,             0.92508,             0.71984,              1.0557,             0.63039,              1.0963,           0.0031096,           0.0031096,           0.0031096
                  89,              1.2137,             0.79678,              1.1268,             0.89634,             0.87903,             0.92454,             0.72433,              1.0458,             0.62794,              1.0938,           0.0030304,           0.0030304,           0.0030304
                  90,              1.2013,              0.7935,              1.1223,             0.89302,             0.88331,             0.92536,             0.72494,              1.0381,             0.62364,              1.0917,           0.0029512,           0.0029512,           0.0029512
                  91,              1.2008,             0.79413,              1.1193,             0.88757,             0.88654,             0.92303,             0.72574,              1.0315,             0.62019,              1.0905,            0.002872,            0.002872,            0.002872
